Title,IMDB id,Year,Rating,Genre,Top_cast
M.S. Dhoni: The Untold Story,tt4169250,2016,8,"Biography, Drama, Sport","Sushant Singh Rajput, Kiara Advani, Anupam Kher  "
Fanaa,tt0439662,2006,7.1,"Action, Drama, Romance, Thriller"," Aamir Khan, Kajol, Rishi Kapoor  "
Bajirao Mastani,tt3735246,2015,7.2,"Action, Drama, History, Romance, War"," Ranveer Singh, Deepika Padukone, Priyanka Chop...  "
Jodhaa Akbar,tt0449994,2008,7.5,"Action, Drama, History, Romance, War","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood  "
Raanjhanaa,tt2359810,2013,7.6,"Drama, Romance","Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub  "
Ek Tha Tiger,tt2016894,2012,5.6,"Action, Adventure, Romance, Thriller","Salman Khan, Katrina Kaif, Girish Karnad  "
Talvar,tt4934950,2015,8.1,"Crime, Drama, Mystery, Thriller"," Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi  "
Dabangg,tt1620719,2010,6.2,"Action, Comedy, Crime"," Salman Khan, Sonakshi Sinha, Sonu Sood  "
Piku,tt3767372,2015,7.6,"Comedy, Drama"," Deepika Padukone, Amitabh Bachchan, Irrfan Khan  "
Wake Up Sid,tt1324059,2009,7.6,"Comedy, Drama, Romance","Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak  "
Mohabbatein,tt0213890,2000,7,"Drama, Musical, Romance","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra  "
Delhi Belly,tt1934231,2011,7.5,"Action, Comedy, Crime, Thriller"," Imran Khan, Vir Das, Kunaal Roy Kapur  "
Dil Se..,tt0164538,1998,7.5," Drama, Romance","Shah Rukh Khan, Manisha Koirala, Preity G Zinta  "
Kai Po Che,tt2213054,2013,7.8,"Drama, Sport"," Sushant Singh Rajput, Rajkummar Rao, Amit Sadh  "
Aashiqui 2,tt2203308,2013,7.1," Drama, Music, Musical, Romance","Aditya Roy Kapoor, Shraddha Kapoor, Shaad Rand...  "
Padmaavat,tt5935704,2018,7.1,"Drama, History, Romance, War","Deepika Padukone, Ranveer Singh, Shahid Kapoor  "
Tanu Weds Manu Returns,tt2140465,2015,7.6,"Comedy, Drama, Romance"," Kangana Ranaut, Madhavan, Jimmy Shergill  "
Baazigar,tt0106333,1993,7.6,"Crime, Drama, Musical, Romance, Thriller"," Shah Rukh Khan, Kajol, Dalip Tahil  "
Highway,tt2980794,1984,6.8,"Drama, Fantasy","Michael Landon, Victor French, James Troesh  "
Udta Punjab,tt4434004,2016,7.7,"Action, Crime, Drama"," Shahid Kapoor, Alia Bhatt, Kareena Kapoor  "
Anand,tt0066763,1971,8.1,"Drama, Musical","Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal  "
Holiday,tt0457939,2006,6.9,"Comedy, Romance "," Cameron Diaz, Kate Winslet, Jude Law  "
Sarfarosh,tt0200087,1999,8.1,"Action, Crime, Drama, Thriller"," Naseeruddin Shah, Aamir Khan, Sonali Bendre  "
Kaabil,tt5460276,2017,7.1,"Action, Crime, Drama, Romance, Thriller"," Hrithik Roshan, Yami Gautam, Ronit Roy  "
Stree,tt8108202,2018,7.5,"Comedy, Horror"," Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor  "
Gully Boy,tt2395469,2019,7.9,"Drama, Music, Romance ","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi  "
Kick,tt2372222,2010,7.6,"Action, Comedy, Crime","Aaron Taylor-Johnson, Garrett M. Brown, Clark ...  "
2 States,tt2372678,2014,6.9,"Comedy, Drama, Romance","Arjun Kapoor, Alia Bhatt, Amrita Singh"
Dhoom 2,tt0441048,2006,6.5,"Action, Crime, Thriller","Hrithik Roshan, Abhishek Bachchan, Aishwarya R...  "
Badhaai Ho,tt11934846,2018,7.9,"Comedy, Drama","Ayushmann Khurrana, Neena Gupta, Gajraj Rao  "
Zero,tt1790885,2012,7.4,"Drama, History, Thriller","Jason Clarke, Reda Kateb, Jessica Chastain  "
Gabbar Is Back,tt2424988,2015,7,"Action, Crime, Drama","Akshay Kumar, Shruti Haasan, Kareena Kapoor  "
Madras Cafe,tt2855648,2013,7.6,"Action, Drama, Thriller"," John Abraham, Nargis Fakhri, Raashi Khanna  "
Darr,tt0109555,1993,7.6,"Action, Drama, Romance, Thriller","Juhi Chawla, Sunny Deol, Shah Rukh Khan  "
Agneepath,tt1849718,2012,6.9,"Action, Crime, Drama"," Hrithik Roshan, Priyanka Chopra Jonas, Sanjay ...  "
Rustom,tt5165344,2016,7,"Crime, Drama, Thriller","Akshay Kumar, Ileana D'Cruz, Arjan Bajwa  "
Bodyguard,tt1729637,2018,8.1,"Crime, Drama, Thriller","Richard Madden, Sophie Rundle, Vincent Franklin  "
Kapoor & Sons,tt4900716,2016,7.7,"Comedy, Drama, Family, Romance"," Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah  "
Khosla Ka Ghosla!,tt0466460,2006,8.2," Comedy, Crime, Drama"," Anupam Kher, Boman Irani, Parvin Dabas  "
Kabir Singh,tt8983202,2019,7,"Action, Drama, Romance "," Shahid Kapoor, Kiara Advani, Nikita Dutta  "
Chitty Chitty Bang Bang,tt0062803,1968,6.9," Adventure, Family, Fantasy, Musical","Dick Van Dyke, Sally Ann Howes, Lionel Jeffries  "
Guru,tt0499375,2007,7.7,Drama,"Mithun Chakraborty, Abhishek Bachchan, Aishwar...  "
Raazi,tt7098658,2018,7.7,"Action, Drama, Thriller"," Alia Bhatt, Vicky Kaushal, Rajit Kapoor  "
Jo Jeeta Wohi Sikandar,tt0104561,1992,8.1,"Comedy, Drama, Romance, Sport"," Aamir Khan, Ayesha Jhulka, Deepak Tijori  "
Badlapur,tt3678782,2015,7.4,"Action, Crime, Drama, Thriller"," Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam"
Masaan,tt4635372,2015,8.1,Drama,"Richa Chadha, Sanjay Mishra, Vicky Kaushal  "
Namastey London,tt0795434,2007,7.1,"Comedy, Drama, Romance"," Akshay Kumar, Katrina Kaif, Rishi Kapoor  "
Tiger Zinda Hai,tt5956100,2017,5.9,"Action, Adventure, Thriller","Salman Khan, Katrina Kaif, Anupriya Goenka  "
Rock On!!,tt1230165,2008,7.7,"Drama, Music"," Arjun Rampal, Farhan Akhtar, Luke Kenny  "
Bhool Bhulaiyaa,tt0995031,2007,7.4,"Comedy, Horror, Mystery, Thriller"," Akshay Kumar, Vidya Balan, Shiney Ahuja  "
Koi... Mil Gaya,tt0254481,2003,7.1,"Action, Drama, Fantasy, Romance, Sci-Fi"," Rekha, Hrithik Roshan, Preity G Zinta  "
Dil To Pagal Hai,tt0118983,1997,7,"Comedy, Drama, Musical, Romance","Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor  "
Neerja,tt5286444,2016,7.6,"Biography, Drama, Thriller","Sonam Kapoor, Shabana Azmi, Yogendra Tikku  "
Ae Dil Hai Mushkil,tt4559006,2016,5.8,"Drama, Music, Musical, Romance","Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka...  "
Lakshya,tt0323013,2004,7.8,"Action, Drama, Romance, War","Hrithik Roshan, Preity G Zinta, Amitabh Bachchan  "
