Title,IMDB id,Year,Rating,Genre,Top_cast
Black Mirror,tt2085059,2011– ,8.7,"Drama, Mystery, Sci-Fi","Wunmi MosakuKatie…2 eps • 2016–20232 episodes • 2016–2023, Monica DolanCS Linda Grace…2 eps • 2019–20232 episodes • 2019–2023, Daniel LapaineDawson…2 eps • 2011–20172 episodes • 2011–2017"
English Vinglish,tt2181931,2012,7.8,"Comedy, Drama, Family","SrideviShashi Godbole, Adil HussainSatish Godbole, Mehdi NebbouLaurent"
Race 3,tt7431594,2018,1.9,"Action, Crime, Thriller","Anil KapoorShamsher, Salman KhanSikander, Bobby DeolYash"
Paan Singh Tomar,tt1620933,2012,8.2,"Action, Biography, Crime","Irrfan KhanPaan Singh Tomar(as Irrfan), Mahie GillIndra Singh Tomar, Rajesh AbhayPaan Singh Gang's Pehalwan"
Main Hoon Na,tt0347473,2004,7,"Action, Comedy, Drama","Shah Rukh KhanMaj. Ram Prasad Sharma, Sushmita SenChandni Chopra, Suniel ShettyRaghavan Datta(as Sunil Shetty)"
Dilwale,tt4535650,2015,5.1,"Action, Comedy, Drama","Shah Rukh KhanRaj…, KajolMeera Malik, Varun DhawanVeer"
M.S. Dhoni: The Untold Stor,tt4169250,2016,8,"Biography, Drama, Sport","Sushant Singh RajputM. S. Dhoni, Kiara AdvaniSakshi Singh Dhoni nee Rawat, Anupam KherPan Singh Dhoni"
Fanaa,tt0439662,2006,7.1,"Action, Drama, Romance","Aamir KhanRehan Qadri, KajolZooni Ali Beg, Rishi KapoorZulfikar Ali Beg"
Bajirao Mastani,tt3735246,2015,7.2,"Action, Drama, History","Ranveer SinghPeshwa Bajirao Ballal, Deepika PadukoneMastani, Priyanka Chopra JonasKashibai(as Priyanka Chopra)"
Jodhaa Akbar,tt0449994,2008,7.5,"Action, Drama, History","Hrithik RoshanJalaluddin Mohammad Akbar, Aishwarya Rai BachchanJodhaa Bai, Sonu SoodSujamal"
Raanjhanaa,tt2359810,2013,7.6,"Drama, Romance","DhanushKundan Shankar, Sonam KapoorZoya Haider, Mohd. Zeeshan AyyubMurari(as Mohammed Zeeshan Ayyub)"
Ek Tha Tiger,tt2016894,2012,5.6,"Action, Adventure, Romance","Salman KhanTiger, Katrina KaifZoya, Girish KarnadShenoy"
Talvar,tt4934950,2015,8.1,"Crime, Drama, Mystery","Irrfan KhanAshwin Kumar, Konkona Sen SharmaNutan Tandon, Neeraj KabiRamesh Tandon"
Dabangg,tt1620719,2010,6.2,"Action, Comedy, Crime","Salman KhanInspector Chulbul Pandey, Sonakshi SinhaRajjo, Sonu SoodChedi Singh"
Piku,tt3767372,2015,7.6,"Comedy, Drama","Deepika PadukonePiku Banerjee, Amitabh BachchanBhaskor Banerjee, Irrfan KhanRana(as Irrfan)"
Wake Up Sid,tt1324059,2009,7.6,"Comedy, Drama, Romance","Ranbir KapoorSid Mehra, Konkona Sen SharmaAisha Banerjee, Supriya PathakSarita Mehra"
Mohabbatein,tt0213890,2000,7,"Drama, Musical, Romance","Amitabh BachchanPrincipal Narayan Shankar, Shah Rukh KhanRaj Aryan Malhotra, Uday ChopraVicky"
Delhi Belly,tt1934231,2011,7.5,"Action, Comedy, Crime","Imran KhanTashi Malhotra…, Vir DasArup, Kunaal Roy KapurNitin"
Dil Se..,tt0164538,1998,7.5,"Drama, Romance","Shah Rukh KhanAmarkanth Varma, Manisha KoiralaMeghna, Preity G ZintaPreeti Nair(as Preity Zinta)"
Kai Po Che!,tt2213054,2013,7.8,"Drama, Sport","Amit SadhOmi Shastri, Sushant Singh RajputIshaan Bhatt, Rajkummar RaoGovind(as Raj Kumar)"
Aashiqui 2,tt2203308,2013,7.1,"Drama, Music, Musical","Aditya Roy KapoorRahul Jaykar, Shraddha KapoorArohi Keshav Shirke, Shaad RandhawaVivek"
Padmaavat,tt5935704,2018,7.1,"Drama, History, Romance","Deepika PadukonePadmavati, Ranveer SinghSultan Alauddin Khilji, Shahid KapoorMaharawal Ratan Singh"
Tanu Weds Manu Returns,tt2140465,2015,7.6,"Comedy, Drama, Romance","Kangana RanautTanuja 'Tanu' Trivedi…, MadhavanManoj 'Manu' Sharma, Jimmy ShergillRaja Awasthi"
Baazigar,tt0106333,1993,7.6,"Crime, Drama, Musical","Shah Rukh KhanAjay Sharma, KajolPriya, Dalip TahilMadan Chopra"
Highway to Heaven,tt0086730,1984–1989,6.8,"Drama, Fantasy","Michael LandonJonathan Smith111 eps • 1984–1989111 episodes • 1984–1989, Victor FrenchMark Gordon111 eps • 1984–1989111 episodes • 1984–1989, James TroeshScotty Wilson8 eps • 1984–19868 episodes • 1984–1986"
Udta Punjab,tt4434004,2016,7.7,"Action, Crime, Drama","Shahid KapoorTommy Singh, Alia BhattKumari Pinky, Kareena KapoorPreet Sahani"
Anand,tt0066763,1971,8.1,"Drama, Musical","Rajesh KhannaAnand Saigal, Amitabh BachchanDr. Bhaskar K. Bannerjee…, Sumita SanyalRenu"
The Holiday,tt0457939,2006,6.9,"Comedy, Romance","Kate WinsletIris, Cameron DiazAmanda, Jude LawGraham"
Sarfarosh,tt0200087,1999,8.1,"Action, Crime, Drama","Naseeruddin ShahGulfam Hassan, Aamir KhanAjay Singh Rathod, Sonali BendreSeema"
Kaabil,tt5460276,2017,7.1,"Action, Crime, Drama","Hrithik RoshanRohan Bhatnagar, Yami GautamSupriya Bhatnagar, Ronit RoyMadhavrao Shellar"
Stree,tt8108202,2018,7.5,"Comedy, Horror","Ashish ChhipaA.C. Vastav, Rajkummar RaoVicky, Shraddha KapoorUnnamed Woman"
Gully Boy,tt2395469,2019,7.9,"Drama, Music, Romance","Ranveer SinghMurad Ahmed…, Alia BhattSafeena Firdausi, Siddhant ChaturvediMC Sher"
Kick-Ass,tt1250777,2010,7.6,"Action, Comedy, Crime","Aaron Taylor-JohnsonDave Lizewski(as Aaron Johnson)…, Nicolas CageDamon Macready…, Chloë Grace MoretzMindy Macready…"
2 States,tt2372678,2014,6.9,"Comedy, Drama, Romance","Arjun KapoorKrish, Alia BhattAnanya, Amrita SinghKavita Malhotra - Krish's Mother"
